Title,Author,State,District,Date,Ban Status,lat,lon,year
A Little Piece of Ground,"Laird, Elizabeth",Florida,Duval County Public Schools,2022-01-01,Banned Pending Investigation,27.766279,-81.686783,2022.0
Date Violence (Life Balance),"Landau, Elaine",Texas,Fredericksburg Independent School District,2022-03-01,Banned Pending Investigation,31.054487,-97.563461,2022.0
Taking Responsibility: A Teen's Guide to Contraception and Pregnancy,"Lange, Donna",Texas,North East Independent School District,2021-12-01,Banned in Libraries,31.054487,-97.563461,2021.0
The Pride Guide: A Guide to Sexual and Social Health for LGBTQ Youth,"Langford, Jo",Tennessee,Collierville Schools,2022-02-01,Banned in Libraries and Classrooms,35.747845,-86.692345,2022.0
The Ultimate Guys' Body Book: Not-So-Stupid Questions About Your Body,"Larimore, Walter",Texas,North East Independent School District,2021-12-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
Dash (Dogs of World War II Series),"Larson, Kirby",Florida,Duval County Public Schools,2022-01-01,Banned Pending Investigation,27.766279,-81.686783,2022.0
25 Women Who Dared to Go,"Lassieur, Allison",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
"Can I Touch Your Hair? Poems of Race, Mistakes, and Friendship","Latham, Irene",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Autoboyography,"Lauren, Christina",Texas,North East Independent School District,2021-12-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
Beautiful Bastard (Beautiful Bastard Series),"Lauren, Christina",Florida,Walton County School District,2022-04-01,Banned Pending Investigation,27.766279,-81.686783,2022.0
Running the Road to ABC,"Lauture, Denize",Florida,Duval County Public Schools,2022-01-01,Banned Pending Investigation,27.766279,-81.686783,2022.0
Trail of Crumbs,"Lawrence, Lisa J.",Florida,Indian River County School District,2021-11-01,Banned in Libraries and Classrooms,27.766279,-81.686783,2021.0
"Rainbow Revolutions: Power, Pride and Protest in the Fight for Queer Rights","Lawson, Jamie",Texas,North East Independent School District,2021-12-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
All We Can Do Is Wait,"Lawson, Richard",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
All We Can Do Is Wait,"Lawson, Richard",Texas,North East Independent School District,2021-12-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
Heavy: An American Memoir,"Laymon, Kiese",Kansas,Goddard Public Schools,2021-11-01,Banned Pending Investigation,38.5266,-96.726486,2021.0
Heavy: An American Memoir,"Laymon, Kiese",Missouri,Wentzville School District,2021-10-01,Banned Pending Investigation,38.456085,-92.288368,2021.0
Drawn Together,"Le, Minh",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
My Book of Life by Angel,"Leavitt, Martine",Florida,Indian River County School District,2021-11-01,Banned in Libraries,27.766279,-81.686783,2021.0
Absolute Brightness,"Lecesne, Celeste",Texas,North East Independent School District,2021-12-01,Banned in Libraries,31.054487,-97.563461,2021.0
To Kill a Mockingbird,"Lee, Harper",North Carolina,Pitt County Schools,2021-11-01,Banned in Classrooms,35.630066,-79.806419,2021.0
To Kill a Mockingbird,"Lee, Harper",Oklahoma,Edmond Public Schools,2021-10-01,Banned in Libraries and Classrooms,35.565342,-96.928917,2021.0
I'll Be the One,"Lee, Lyla",Florida,Indian River County School District,2021-11-01,Banned in Libraries and Classrooms,27.766279,-81.686783,2021.0
I'll Be the One,"Lee, Lyla",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
Mindy Kim and the Big Pizza Challenge (Mindy Kim Series),"Lee, Lyla",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Mindy Kim and the Birthday Puppy (Mindy Kim Series),"Lee, Lyla",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Mindy Kim and the Fairy-Tale Wedding (Mindy Kim Series),"Lee, Lyla",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Mindy Kim and the Lunar New Year Parade (Mindy Kim Series),"Lee, Lyla",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Mindy Kim and the Trip to Korea (Mindy Kim Series),"Lee, Lyla",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Mindy Kim and the Yummy Seaweed Business (Mindy Kim Series),"Lee, Lyla",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
"Mindy Kim, Class President (Mindy Kim Series)","Lee, Lyla",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
The Gentleman's Guide to Vice and Virtue (Montague Siblings Series),"Lee, Mackenzi",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
The Lady's Guide to Petticoats and Piracy (Montague Siblings Series),"Lee, Mackenzi",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
The Downstairs Girl,"Lee, Stacey",Texas,North East Independent School District,2021-12-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
When Spring Comes to the DMZ,"Lee, Uk-Bae",Florida,Duval County Public Schools,2022-01-01,Banned Pending Investigation,27.766279,-81.686783,2022.0
A Lesson in Vengeance,"Lee, Victoria",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
The Electric Heir (Feverwake Series),"Lee, Victoria",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
The Fever King (Feverwake Series),"Lee, Victoria",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
Celebrate Your Body 2: The Ultimate Puberty Book for Preteen and Teen Girls,"Leff, Carrie",Florida,Walton County School District,2022-04-01,Banned Pending Investigation,27.766279,-81.686783,2022.0
Rape On Campus,"Leone, Bruno",Florida,Indian River County School District,2021-11-01,Banned Pending Investigation,27.766279,-81.686783,2021.0
Gender Issues and Sexuality: Essential Primary Sources,"Lerner, K. Lee",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
Henry's Freedom Box: A True Story from the Underground Railroad,"Levine, Ellen",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
19 Love Songs,"Levithan, David",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
Another Day (Every Day Series),"Levithan, David",North Carolina,Iredell-Statesville School District,2022-02-01,Banned in Libraries,35.630066,-79.806419,2022.0
Every Day (Every Day Series),"Levithan, David",Indiana,Middlebury Community Schools,2021-12-01,Banned in Libraries,39.849426,-86.258278,2021.0
"Hold Me Closer: The Tiny Cooper Story (Will Grayson, Will Grayson Series)","Levithan, David",Oklahoma,Bristow Public Schools,2021-10-01,Banned Pending Investigation,35.565342,-96.928917,2021.0
"Hold Me Closer: The Tiny Cooper Story (Will Grayson, Will Grayson Series)","Levithan, David",Texas,Granbury Independent School District,2022-01-01,Banned Pending Investigation,31.054487,-97.563461,2022.0
"Hold Me Closer: The Tiny Cooper Story (Will Grayson, Will Grayson Series)","Levithan, David",Texas,North East Independent School District,2021-12-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
